,data,label
0,img_1.jpg,0
1,img_10.jpg,0
2,img_100.jpg,0
3,img_1000.jpg,2
4,img_10000.jpg,21
5,img_10001.jpg,21
6,img_10002.jpg,21
7,img_10003.jpg,21
8,img_10006.jpg,21
9,img_10007.jpg,21
10,img_10009.jpg,21
11,img_1001.jpg,2
12,img_10010.jpg,21
13,img_10012.jpg,21
14,img_10014.jpg,21
15,img_10015.jpg,21
16,img_10016.jpg,21
17,img_10017.jpg,21
18,img_10018.jpg,21
19,img_10019.jpg,21
20,img_1002.jpg,2
21,img_10020.jpg,21
22,img_10021.jpg,21
23,img_10022.jpg,21
24,img_10023.jpg,21
25,img_10024.jpg,21
26,img_10026.jpg,21
27,img_10028.jpg,21
28,img_10029.jpg,21
29,img_1003.jpg,2
30,img_10031.jpg,21
31,img_10032.jpg,21
32,img_10033.jpg,21
33,img_10034.jpg,21
34,img_10035.jpg,21
35,img_10036.jpg,21
36,img_10039.jpg,21
37,img_10041.jpg,21
38,img_10042.jpg,21
39,img_10044.jpg,21
40,img_10045.jpg,21
41,img_10046.jpg,21
42,img_10047.jpg,21
43,img_10048.jpg,21
44,img_10049.jpg,21
45,img_10050.jpg,21
46,img_10053.jpg,21
47,img_10054.jpg,21
48,img_10058.jpg,21
49,img_10059.jpg,21
50,img_10060.jpg,21
51,img_10061.jpg,21
52,img_10062.jpg,21
53,img_10063.jpg,21
54,img_10065.jpg,21
55,img_10066.jpg,21
56,img_10067.jpg,21
57,img_10068.jpg,21
58,img_10069.jpg,21
59,img_1007.jpg,2
60,img_10070.jpg,21
61,img_10071.jpg,21
62,img_10072.jpg,21
63,img_10073.jpg,21
64,img_10074.jpg,21
65,img_10075.jpg,21
66,img_10076.jpg,21
67,img_10078.jpg,21
68,img_10079.jpg,21
69,img_1008.jpg,2
70,img_10080.jpg,21
71,img_10081.jpg,21
72,img_10083.jpg,21
73,img_10084.jpg,21
74,img_10085.jpg,21
75,img_10087.jpg,21
76,img_10088.jpg,21
77,img_10089.jpg,21
78,img_1009.jpg,2
79,img_10091.jpg,21
80,img_10092.jpg,21
81,img_10093.jpg,21
82,img_10094.jpg,21
83,img_10095.jpg,21
84,img_10096.jpg,21
85,img_10097.jpg,21
86,img_10098.jpg,21
87,img_10099.jpg,21
88,img_101.jpg,0
89,img_1010.jpg,2
90,img_10100.jpg,21
91,img_10101.jpg,21
92,img_10102.jpg,21
93,img_10103.jpg,21
94,img_10105.jpg,21
95,img_10106.jpg,21
96,img_10108.jpg,21
97,img_1011.jpg,2
98,img_10110.jpg,21
99,img_10112.jpg,21
100,img_10115.jpg,21
101,img_10116.jpg,21
102,img_10117.jpg,21
103,img_10119.jpg,21
104,img_1012.jpg,2
105,img_10120.jpg,21
106,img_10121.jpg,21
107,img_10122.jpg,21
108,img_10123.jpg,21
109,img_10124.jpg,21
110,img_10126.jpg,21
111,img_10127.jpg,21
112,img_10128.jpg,21
113,img_1013.jpg,2
114,img_10131.jpg,21
115,img_10133.jpg,21
116,img_10134.jpg,21
117,img_10135.jpg,21
118,img_10137.jpg,21
119,img_10139.jpg,21
120,img_1014.jpg,2
121,img_10141.jpg,21
122,img_10142.jpg,21
123,img_10143.jpg,21
124,img_10144.jpg,21
125,img_10145.jpg,21
126,img_10146.jpg,21
127,img_10147.jpg,21
128,img_1015.jpg,2
129,img_10150.jpg,21
130,img_10151.jpg,21
131,img_10152.jpg,21
132,img_10153.jpg,21
133,img_10155.jpg,21
134,img_10156.jpg,21
135,img_10157.jpg,21
136,img_10158.jpg,21
137,img_10159.jpg,21
138,img_1016.jpg,2
139,img_10160.jpg,21
140,img_10161.jpg,21
141,img_10163.jpg,21
142,img_10164.jpg,21
143,img_10165.jpg,21
144,img_10166.jpg,21
145,img_10168.jpg,21
146,img_1017.jpg,2
147,img_10170.jpg,21
148,img_10171.jpg,21
149,img_10173.jpg,21
150,img_10175.jpg,21
151,img_10176.jpg,21
152,img_10177.jpg,21
153,img_10178.jpg,21
154,img_1018.jpg,2
155,img_10180.jpg,21
156,img_10181.jpg,21
157,img_10182.jpg,21
158,img_10183.jpg,21
159,img_10184.jpg,21
160,img_10186.jpg,21
161,img_10187.jpg,21
162,img_10188.jpg,21
163,img_1019.jpg,2
164,img_10191.jpg,21
165,img_10192.jpg,21
166,img_10194.jpg,21
167,img_10195.jpg,21
168,img_10198.jpg,21
169,img_1020.jpg,2
170,img_10200.jpg,21
171,img_10201.jpg,21
172,img_10202.jpg,21
173,img_10203.jpg,21
174,img_10205.jpg,21
175,img_10206.jpg,21
176,img_10208.jpg,21
177,img_1021.jpg,2
178,img_10210.jpg,21
179,img_10211.jpg,21
180,img_10212.jpg,21
181,img_10213.jpg,21
182,img_10214.jpg,21
183,img_10215.jpg,21
184,img_10216.jpg,21
185,img_10217.jpg,21
186,img_10218.jpg,21
187,img_10219.jpg,21
188,img_1022.jpg,2
189,img_10220.jpg,21
190,img_10222.jpg,21
191,img_10225.jpg,21
192,img_10227.jpg,21
193,img_10228.jpg,21
194,img_1023.jpg,2
195,img_10230.jpg,21
196,img_10231.jpg,21
197,img_10233.jpg,21
198,img_10234.jpg,21
199,img_10235.jpg,21
200,img_10236.jpg,21
201,img_10237.jpg,21
202,img_10238.jpg,21
203,img_10239.jpg,21
204,img_10240.jpg,21
205,img_10241.jpg,21
206,img_10243.jpg,21
207,img_10244.jpg,21
208,img_10246.jpg,21
209,img_10247.jpg,21
210,img_10249.jpg,21
211,img_10250.jpg,21
212,img_10251.jpg,21
213,img_10252.jpg,21
214,img_10253.jpg,21
215,img_10254.jpg,21
216,img_10256.jpg,21
217,img_10257.jpg,21
218,img_10258.jpg,21
219,img_10259.jpg,21
220,img_10261.jpg,21
221,img_10262.jpg,21
222,img_10264.jpg,21
223,img_10265.jpg,21
224,img_10266.jpg,21
225,img_10267.jpg,21
226,img_10268.jpg,21
227,img_10269.jpg,21
228,img_10270.jpg,21
229,img_10271.jpg,21
230,img_10272.jpg,21
231,img_10273.jpg,21
232,img_10274.jpg,21
233,img_10276.jpg,21
234,img_10278.jpg,21
235,img_10279.jpg,21
236,img_1028.jpg,2
237,img_10280.jpg,21
238,img_10281.jpg,21
239,img_10283.jpg,21
240,img_10284.jpg,21
241,img_10285.jpg,21
242,img_10288.jpg,21
243,img_10289.jpg,21
244,img_1029.jpg,2
245,img_10291.jpg,21
246,img_10292.jpg,21
247,img_10293.jpg,21
248,img_10294.jpg,21
249,img_10295.jpg,21
250,img_10297.jpg,21
251,img_10298.jpg,21
252,img_10299.jpg,21
253,img_1030.jpg,2
254,img_10300.jpg,21
255,img_10301.jpg,21
256,img_10304.jpg,21
257,img_10306.jpg,21
258,img_10307.jpg,21
259,img_10308.jpg,21
260,img_1031.jpg,2
261,img_10310.jpg,21
262,img_10311.jpg,21
263,img_10312.jpg,21
264,img_10313.jpg,21
265,img_10314.jpg,21
266,img_10315.jpg,21
267,img_10316.jpg,21
268,img_10317.jpg,21
269,img_10318.jpg,21
270,img_10319.jpg,21
271,img_1032.jpg,2
272,img_10320.jpg,21
273,img_10321.jpg,21
274,img_10322.jpg,21
275,img_10323.jpg,21
276,img_10324.jpg,21
277,img_10325.jpg,21
278,img_10326.jpg,21
279,img_10327.jpg,21
280,img_10328.jpg,21
281,img_10329.jpg,21
282,img_10330.jpg,21
283,img_10332.jpg,21
284,img_10333.jpg,21
285,img_10334.jpg,21
286,img_10335.jpg,21
287,img_10336.jpg,21
288,img_10337.jpg,21
289,img_10338.jpg,21
290,img_10342.jpg,21
291,img_10343.jpg,21
292,img_10345.jpg,21
293,img_10347.jpg,21
294,img_10348.jpg,21
295,img_1035.jpg,2
296,img_10350.jpg,21
297,img_10354.jpg,21
298,img_10356.jpg,21
299,img_10357.jpg,21
300,img_10358.jpg,21
301,img_10359.jpg,21
302,img_10360.jpg,21
303,img_10361.jpg,21
304,img_10362.jpg,21
305,img_10364.jpg,21
306,img_10365.jpg,21
307,img_10366.jpg,21
308,img_10367.jpg,21
309,img_10368.jpg,21
310,img_10369.jpg,21
311,img_10370.jpg,21
312,img_10371.jpg,21
313,img_10372.jpg,21
314,img_10373.jpg,21
315,img_10374.jpg,21
316,img_10375.jpg,21
317,img_10377.jpg,21
318,img_10378.jpg,21
319,img_10379.jpg,21
320,img_10380.jpg,21
321,img_10381.jpg,21
322,img_10382.jpg,21
323,img_10383.jpg,21
324,img_10384.jpg,21
325,img_10385.jpg,21
326,img_10387.jpg,21
327,img_10388.jpg,21
